@relation butterfly_vs_owl_ColorLayoutImageFeatures

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute class {BUTTERFLY,OWL}

@data
27,18,16,10,13,11,12,17,14,15,14,14,19,14,15,15,14,18,14,15,15,17,16,17,18,16,16,15,16,16,15,16,16,16,15,17,15,14,17,14,15,16,15,15,15,16,16,16,14,15,17,15,16,15,16,15,16,17,16,15,15,16,16,16,20,16,15,20,16,21,17,16,17,16,16,17,12,17,15,15,16,15,17,16,17,14,15,14,14,16,14,15,36,17,14,5,18,9,16,16,20,19,14,15,16,14,12,15,16,13,18,12,15,18,16,19,15,19,17,13,BUTTERFLY
10,18,12,8,17,13,15,18,17,18,15,16,16,16,15,15,16,15,14,16,16,16,15,17,15,16,16,16,16,16,15,15,16,15,15,16,15,16,16,15,15,14,16,15,16,15,16,16,15,15,15,16,16,16,16,15,15,15,15,16,15,15,15,16,18,15,18,22,15,21,16,13,15,13,16,15,12,16,17,16,16,16,17,16,15,15,16,15,16,14,15,15,36,12,7,7,13,5,19,18,13,23,17,18,23,15,13,16,16,15,16,15,16,15,16,14,15,20,14,17,BUTTERFLY
30,7,15,13,8,14,18,13,17,8,13,11,18,15,19,16,14,17,21,14,18,17,17,16,18,15,14,17,18,15,17,15,14,15,17,16,16,15,15,15,15,14,15,14,15,16,16,15,14,15,15,15,15,17,16,15,15,15,15,15,17,15,14,14,15,17,15,15,15,15,16,14,16,15,15,15,15,16,17,16,16,16,18,16,17,15,15,16,16,14,15,16,33,16,15,13,12,13,15,16,16,17,16,15,20,16,16,19,15,17,16,15,14,16,17,16,13,15,14,16,BUTTERFLY
14,16,13,20,17,9,14,20,13,16,17,17,11,17,14,13,15,18,15,14,15,16,14,15,16,16,15,17,19,17,14,15,15,17,16,15,16,15,15,16,16,14,17,16,15,17,15,16,16,14,17,16,16,16,16,14,16,15,16,16,15,16,15,16,13,15,18,19,14,20,18,13,17,15,16,16,15,16,19,17,16,15,18,16,15,15,17,15,16,15,15,14,51,15,14,11,16,11,14,17,16,15,15,15,17,16,12,14,15,15,14,15,17,16,14,16,16,16,17,17,BUTTERFLY
34,18,20,18,15,17,14,11,15,12,13,16,13,16,16,16,18,16,16,15,16,16,15,16,17,16,16,15,16,16,17,16,17,17,16,15,15,15,17,15,15,15,16,15,16,15,15,16,15,15,16,16,17,15,15,15,16,15,16,14,15,16,16,15,24,17,19,14,15,14,14,13,14,13,15,15,16,15,16,17,15,15,17,15,15,15,15,16,17,16,15,15,21,18,15,7,15,6,13,16,13,18,15,14,19,14,15,16,16,17,16,15,15,16,16,18,18,19,17,16,BUTTERFLY
28,19,19,17,19,10,8,17,17,13,15,15,13,17,8,12,16,16,16,16,14,14,16,17,17,16,15,14,15,15,15,15,14,17,16,15,16,17,14,14,16,15,15,15,17,16,15,16,15,15,16,15,15,16,17,16,15,16,16,15,15,16,15,16,7,12,12,16,13,21,21,15,14,17,16,17,15,15,21,18,16,16,15,15,17,17,15,15,16,16,16,16,43,15,18,11,16,9,16,15,18,15,17,17,21,17,14,15,15,14,16,16,15,16,15,14,13,14,15,15,BUTTERFLY
27,19,17,20,19,16,17,13,12,14,13,16,15,15,15,16,16,12,19,16,16,17,15,14,14,15,16,16,14,15,15,16,19,16,16,17,16,13,15,15,14,14,16,15,16,15,14,16,16,15,17,18,18,15,15,14,15,16,15,16,15,15,14,17,7,12,15,11,13,16,18,18,18,16,18,17,16,14,14,16,16,17,13,16,15,14,17,15,16,16,16,15,39,17,16,14,16,13,17,14,15,15,15,16,18,15,16,15,16,15,16,17,16,16,15,15,15,16,16,15,BUTTERFLY
14,15,9,14,16,12,17,15,16,15,16,15,17,15,15,15,16,17,17,15,14,15,16,14,14,15,15,15,16,16,16,17,15,18,15,16,15,16,15,16,17,17,16,14,14,16,15,16,16,17,16,16,15,15,16,16,17,14,15,16,16,15,16,15,14,17,17,21,17,23,14,17,16,17,15,15,11,14,15,16,16,14,15,15,17,16,15,16,18,16,17,15,48,15,18,7,12,7,16,14,13,14,15,18,23,20,16,14,14,17,17,18,13,16,17,17,13,16,14,17,BUTTERFLY
24,15,23,16,15,15,17,21,13,15,15,16,14,16,15,13,12,17,14,15,16,15,16,16,16,15,14,16,16,17,16,15,17,14,16,16,16,16,15,16,14,17,16,16,15,15,16,15,16,16,16,16,15,17,17,14,16,17,15,16,16,15,15,15,10,14,16,18,13,18,17,14,16,18,16,17,12,16,15,16,16,17,15,17,15,16,15,16,14,17,16,17,48,13,18,13,18,11,15,17,15,15,15,14,17,14,16,15,15,16,16,15,16,17,15,16,16,16,16,15,BUTTERFLY
18,10,12,10,21,19,18,19,17,19,16,12,9,14,14,17,15,16,13,18,17,16,14,15,15,15,14,14,15,14,14,17,14,15,15,17,16,17,16,16,14,17,16,16,18,17,15,15,16,17,15,16,17,15,15,15,14,15,15,14,16,16,14,16,23,11,13,19,16,18,16,18,16,16,15,15,11,14,17,14,17,15,15,15,17,15,17,17,15,16,17,15,34,17,14,11,15,11,15,14,14,15,15,15,17,16,15,16,17,19,17,16,15,16,16,16,14,16,15,16,BUTTERFLY
11,17,21,6,15,12,16,14,15,17,16,16,18,15,17,17,15,15,15,16,16,16,15,15,14,17,16,17,15,16,15,17,14,15,15,16,15,13,16,14,16,15,15,15,14,16,14,16,16,15,16,16,16,16,16,16,16,15,15,15,15,15,16,15,21,15,14,22,15,19,15,16,16,16,14,15,12,15,15,15,16,16,15,15,15,15,16,16,16,15,15,14,38,15,15,7,15,7,15,14,16,14,18,18,21,16,15,16,15,16,16,16,16,17,14,17,15,17,16,17,BUTTERFLY
25,16,13,22,24,20,15,19,15,17,16,14,10,11,13,14,16,17,15,16,15,17,14,16,15,15,14,16,16,16,16,16,15,17,15,16,14,15,18,15,18,14,15,15,16,15,14,16,15,17,15,14,15,17,17,16,15,16,16,16,16,16,17,16,21,16,12,21,13,18,14,17,16,14,17,13,11,17,17,17,16,16,17,16,18,14,16,15,20,15,16,14,25,17,15,13,9,5,17,19,17,15,15,17,20,21,11,14,15,13,18,16,15,16,17,15,13,17,16,15,BUTTERFLY
12,16,19,18,16,19,15,14,15,14,17,16,13,16,15,17,15,16,15,15,14,16,16,15,15,14,16,16,15,15,15,18,16,17,15,15,16,15,15,16,15,16,15,16,15,16,15,16,16,16,16,15,15,16,16,16,16,15,15,15,16,15,16,16,7,15,12,13,18,11,17,17,14,16,14,15,17,14,14,14,18,16,17,15,17,15,15,17,15,16,14,15,45,16,15,10,17,9,16,17,14,17,17,15,22,14,16,16,16,16,14,16,15,16,16,15,17,14,16,16,BUTTERFLY
21,13,19,19,21,18,14,12,16,13,14,16,12,18,15,16,15,14,15,17,16,16,16,16,15,16,16,17,15,15,15,16,15,16,14,17,17,16,14,16,15,14,15,16,16,16,15,16,16,15,15,15,14,16,15,16,15,16,15,16,15,14,15,15,10,21,13,12,8,14,16,21,16,18,18,14,18,13,15,15,16,17,16,13,16,14,16,16,16,15,15,14,50,13,17,16,20,17,15,13,15,15,15,16,15,15,15,17,16,16,15,17,16,16,15,14,15,14,16,17,BUTTERFLY
23,16,19,16,14,12,18,11,9,19,16,14,13,20,15,14,16,22,18,15,13,15,15,17,17,16,14,14,15,17,13,15,15,17,16,17,18,18,17,16,17,15,17,16,16,16,16,15,15,14,15,14,13,15,15,16,15,14,17,16,17,16,16,16,27,13,15,14,16,16,15,15,16,16,16,17,15,16,16,16,16,15,15,15,15,16,16,15,16,15,16,15,15,15,20,12,13,11,17,14,17,13,17,17,18,17,15,15,14,14,16,17,17,16,15,13,13,15,16,17,BUTTERFLY
20,22,20,18,16,19,18,9,16,16,15,15,14,9,15,16,11,16,16,14,15,16,17,16,18,15,9,16,17,23,18,16,17,18,15,15,16,16,16,17,15,15,16,18,17,17,15,15,16,14,15,14,18,15,16,13,16,15,16,14,13,16,17,16,19,15,15,20,17,20,15,16,15,15,14,16,12,15,14,16,16,16,16,16,16,16,15,17,16,15,15,15,36,18,14,7,16,8,16,16,16,18,19,16,22,15,15,16,15,15,16,15,15,16,16,15,15,17,16,16,BUTTERFLY
7,16,22,15,16,14,15,16,16,18,16,15,16,15,15,15,15,15,14,15,15,16,15,15,14,16,14,16,16,16,16,15,15,15,16,15,16,15,16,15,17,15,16,15,15,16,15,16,16,16,15,15,16,16,16,16,15,16,15,16,15,16,15,16,13,15,8,16,14,16,16,15,15,13,15,16,16,16,16,16,16,16,17,17,16,15,16,16,17,16,17,15,57,14,24,16,20,16,15,17,16,19,17,13,14,15,16,15,16,17,15,14,15,16,14,15,13,15,13,17,BUTTERFLY
21,14,7,23,13,18,16,18,14,18,15,17,12,17,16,17,20,15,18,14,16,16,17,9,16,13,16,15,16,19,15,15,15,19,14,14,16,16,15,15,15,13,16,16,14,15,16,15,14,15,17,14,18,16,16,15,16,15,15,15,16,16,17,16,19,14,8,23,18,17,16,16,16,11,14,14,10,15,14,15,17,16,19,15,17,16,15,15,17,15,15,12,40,13,13,13,15,10,15,18,15,18,19,16,18,16,14,15,16,16,15,15,14,16,16,14,14,17,14,17,BUTTERFLY
12,22,10,18,13,14,15,15,15,13,15,17,16,17,14,14,16,16,17,14,12,15,14,17,17,16,15,15,15,15,15,16,15,16,15,13,15,18,15,16,15,15,16,16,15,17,14,14,16,16,15,17,16,15,15,16,17,16,16,17,15,15,16,16,13,13,16,16,17,20,15,16,16,17,17,15,14,14,16,17,15,15,15,16,17,17,16,13,15,14,16,15,38,15,17,9,16,11,15,15,14,15,17,15,19,16,15,15,14,16,15,16,17,16,16,16,15,17,15,17,BUTTERFLY
38,17,15,19,16,21,15,16,17,13,14,17,11,13,17,12,14,15,17,16,16,15,13,15,17,15,17,17,16,14,15,18,16,17,15,15,15,17,15,16,16,15,18,14,15,15,15,16,16,16,15,15,15,16,13,15,15,15,16,15,15,16,16,15,18,17,16,13,17,15,11,15,14,16,14,15,14,16,13,16,16,19,15,16,15,15,16,19,17,17,15,15,35,15,15,9,16,10,20,16,19,16,17,16,20,17,16,13,14,11,15,14,15,16,16,16,15,17,15,15,BUTTERFLY
13,13,19,18,15,14,12,15,15,16,15,17,13,16,16,15,16,17,12,16,15,14,15,14,17,16,14,17,14,16,15,17,16,16,16,16,15,16,16,15,15,15,15,15,14,15,16,16,16,16,16,16,16,14,15,15,16,15,16,15,16,16,15,16,10,15,19,17,14,16,18,12,16,16,15,15,12,16,17,15,17,15,17,16,15,17,16,16,16,16,17,14,50,13,18,11,14,8,15,14,16,18,15,16,16,16,16,16,16,17,14,16,15,14,16,17,16,18,15,17,BUTTERFLY
13,15,12,7,16,7,16,14,16,15,18,14,21,16,15,15,17,15,16,15,16,15,15,14,16,17,15,17,16,15,15,18,17,17,16,16,15,14,15,13,15,14,16,16,15,15,15,15,17,15,16,15,16,15,16,16,15,15,16,16,16,16,16,15,21,15,16,20,16,20,16,16,15,16,14,16,12,16,16,16,16,16,15,16,15,15,15,16,15,15,15,14,30,16,18,7,16,10,15,16,16,15,17,16,20,15,15,16,14,15,16,15,15,16,16,16,16,17,16,17,BUTTERFLY
15,19,13,16,12,15,16,12,15,19,14,17,16,14,12,15,19,15,13,15,16,15,16,14,14,15,17,14,15,17,15,13,18,15,15,15,16,15,16,17,16,15,16,14,16,14,16,15,16,15,16,16,14,17,16,16,16,16,15,16,16,15,16,15,12,11,20,15,21,16,15,19,15,13,17,14,14,16,18,16,12,17,17,16,14,16,15,16,17,16,14,17,32,18,16,9,11,14,17,12,19,11,16,15,19,15,16,16,16,14,17,14,17,16,16,16,15,17,17,15,BUTTERFLY
22,6,16,18,16,13,12,17,15,15,15,13,16,16,16,18,15,19,19,13,16,13,15,15,15,16,15,17,18,14,16,16,16,17,15,15,18,16,15,16,15,16,15,16,16,13,14,17,14,15,14,16,17,15,16,18,15,16,15,15,15,16,16,15,13,16,16,16,15,18,14,16,15,16,15,15,14,16,15,16,16,15,16,16,15,16,16,17,16,17,16,16,28,16,15,11,16,12,16,15,15,15,18,16,20,15,17,15,16,15,16,16,16,15,15,14,15,15,16,15,BUTTERFLY
10,17,15,18,18,11,19,15,20,17,17,15,14,16,17,15,19,17,15,17,16,15,16,15,18,18,14,15,15,16,13,15,18,18,15,15,15,15,16,15,16,15,16,17,15,16,15,17,17,16,16,15,17,18,17,16,14,15,15,17,16,16,16,16,17,15,15,15,14,19,12,16,13,14,14,16,16,15,14,16,13,14,16,15,16,16,15,16,13,13,16,16,38,13,15,12,17,12,19,15,17,17,16,14,18,15,16,16,17,15,16,16,16,16,16,16,16,17,15,15,BUTTERFLY
27,15,22,18,13,15,9,10,13,17,14,15,14,16,14,12,12,14,14,12,15,16,17,15,16,17,14,16,14,14,16,16,13,17,15,15,15,15,19,15,16,18,15,17,16,15,15,17,15,16,15,15,16,16,16,16,14,15,17,15,15,15,16,16,28,16,16,19,17,17,17,15,15,14,15,16,13,16,14,16,16,15,17,15,17,16,16,16,17,16,15,16,44,14,16,14,10,12,12,14,17,15,14,14,15,15,13,16,15,17,15,15,15,15,18,15,16,16,16,15,BUTTERFLY
13,24,16,17,18,15,18,16,21,16,18,12,16,15,18,15,17,17,15,14,15,16,16,15,11,15,18,17,14,15,13,15,15,18,13,16,16,14,15,13,16,14,17,16,15,16,15,16,17,15,16,16,18,16,15,16,16,15,15,16,15,15,15,15,21,12,15,21,14,17,16,13,13,13,14,17,11,15,16,14,17,14,18,17,17,16,16,17,17,15,16,14,40,18,12,9,16,10,15,16,17,18,17,15,20,15,14,17,16,16,15,16,14,16,16,15,15,18,16,17,BUTTERFLY
21,7,23,17,17,14,13,16,14,15,18,19,16,14,14,18,16,16,16,16,12,15,15,16,19,14,14,15,16,13,15,16,15,16,19,16,15,16,15,15,15,15,14,15,15,15,15,14,15,15,18,15,16,14,15,15,16,17,15,15,15,17,15,17,16,16,11,21,17,18,19,14,14,15,16,15,14,17,14,15,16,13,16,15,18,16,15,16,13,16,15,16,37,12,5,15,23,10,15,18,13,11,20,14,19,15,13,15,16,15,16,17,16,14,15,11,17,16,15,18,BUTTERFLY
17,16,20,17,16,14,12,9,17,15,14,17,12,11,16,16,15,13,13,16,13,15,16,16,15,14,15,16,17,17,15,16,16,17,17,14,16,15,15,17,14,14,16,16,13,16,16,15,14,15,17,16,15,14,16,16,15,16,17,16,15,15,16,16,22,15,14,17,15,18,17,17,16,14,15,16,14,17,15,16,16,17,17,15,17,15,15,16,15,16,15,15,35,19,14,12,14,11,17,16,15,18,17,14,19,15,16,15,15,15,15,16,15,16,16,14,16,15,16,17,BUTTERFLY
15,15,15,12,14,15,15,17,14,17,15,17,16,17,19,15,16,14,15,17,15,14,15,16,15,13,14,15,15,14,16,17,15,17,16,16,16,14,16,16,16,15,17,15,14,17,16,17,15,14,15,16,16,15,17,16,15,17,15,15,15,15,16,15,18,16,16,17,17,15,16,15,17,15,16,14,16,15,14,15,15,17,14,15,16,16,16,17,15,17,17,16,35,16,14,13,14,14,15,16,14,16,17,17,17,16,17,15,16,15,16,16,15,15,15,15,16,15,15,15,BUTTERFLY
31,11,23,20,20,12,14,16,16,18,13,16,15,15,15,16,16,15,12,15,14,16,15,18,17,15,16,17,14,15,14,17,16,16,16,16,15,15,16,16,15,13,16,17,15,17,16,15,16,14,15,16,17,16,16,15,16,14,15,16,16,15,16,16,18,14,15,17,16,17,15,16,15,17,13,16,13,16,16,15,15,16,16,16,16,15,15,17,15,14,15,13,19,14,8,5,17,9,16,16,16,22,15,14,22,16,14,17,17,16,17,16,18,15,14,13,14,17,16,18,BUTTERFLY
