@relation butterfly_vs_owl_BasicImageFeatures

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute class {BUTTERFLY,OWL}

@data
0.476647,0.000078,0.661506,0.35,0.418606,0.074548,0.060587,0.005525,OWL
0.435218,0.00173,0.456146,0.25,0.1629,0.025085,0.102684,0.011347,OWL
0.407323,0.007828,0.589362,0.4,0.16792,0.051099,0.583611,0.005333,OWL
0.327561,0.000031,0.524198,0.2,0.425033,0.074456,0.807889,0.006249,OWL
0.341051,0.000082,0.495713,0.35,0.35474,0.048337,0.420618,0.007185,OWL
0.596809,0.041073,0.649469,0.45,0.09149,0.05749,-0.083137,0.012424,OWL
0.307794,0,0.455015,0.2,0.241015,0.036354,1.559178,0.013854,OWL
0.325478,0.000401,0.491394,0.35,0.245725,0.087808,1.009022,0.007326,OWL
0.3359,0.000066,0.217536,0.25,0.11998,0.036056,0.143258,0.01622,OWL
0.720254,0,0.282665,0.1,0.17768,0.056464,-0.573173,0.0101,OWL
0.374626,0.000049,0.512857,0.2,0.2071,0.029484,0.098595,0.006905,OWL
0.448849,0.001273,0.503085,0.2,0.276839,0.022933,0.151832,0.006495,OWL
0.169031,0.012597,0.501806,0.25,0.393441,0.020282,1.68496,0.104488,OWL
0.355434,0.01083,0.639467,0.4,0.401809,0.041022,0.661982,0.008895,OWL
0.521534,0.000021,0.500306,0.2,0.209329,0.032888,0.195491,0.00457,OWL
0.400022,0.00051,0.44841,0.15,0.169948,0.042681,1.323648,0.009109,OWL
0.30913,0.002942,0.57137,0.15,0.451665,0.035428,1.06178,0.009938,OWL
0.267244,0.008233,0.553317,0.3,0.297437,0.025994,0.920064,0.018047,OWL
0.229219,0.000015,0.389699,0.5,0.261866,0.031531,0.885301,0.015903,OWL
0.344248,0.001202,0.345417,0.2,0.34363,0.037104,0.163343,0.00942,OWL
0.344404,0.000341,0.575617,0.1,0.244634,0.022886,0.669666,0.016327,OWL
0.367325,0,0.254179,0.2,0.249482,0.023237,-0.451476,0.009188,OWL
0.541002,0.000727,0.299795,0.2,0.203627,0.034457,0.752612,0.010004,OWL
0.390722,0.007161,0.60952,0.3,0.231644,0.026383,0.49163,0.007161,OWL
0.448253,0,0.413674,0.1,0.279093,0.024652,0.140877,0.005971,OWL
0.362193,0.000634,0.379272,0.3,0.319596,0.074081,1.385548,0.007972,OWL
0.45927,0.000001,0.412802,0.1,0.023538,0.045082,1.120065,0.010371,OWL
0.240242,0.011873,0.497049,0.75,0.260706,0.05171,0.92698,0.014091,OWL
0.36705,0.000001,0.472233,0.9,0.061892,0.040596,1.062073,0.011242,OWL
0.449931,0,0.388465,0.25,0.132507,0.022669,-0.160547,0.010264,OWL
0.671681,0,0.304917,0.1,0.216786,0.035428,-0.268999,0.00725,OWL
0.275914,0.000013,0.451983,0.8,0.259588,0.038969,1.729135,0.01618,OWL
0.518178,0.000465,0.508681,0.1,0.263415,0.122259,0.382207,0.005165,OWL
0.337763,0,0.465385,0.45,0.519041,0.092636,1.058071,0.006365,OWL
0.533224,0.002997,0.473169,0.15,0.324501,0.067816,0.035365,0.004896,OWL
0.382565,0,0.381315,0.1,0.034786,0.027069,0.939401,0.037912,OWL
0.350088,0.000002,0.279369,0.1,0.525048,0.054607,0.837778,0.00863,OWL
0.679878,0,0.522167,0.2,0.103147,0.031852,-1.115704,0.027003,OWL
0.604985,0.000009,0.607712,0.45,0.133058,0.030472,-0.793631,0.007242,OWL
0.455691,0.000173,0.389423,0.35,0.219483,0.062574,0.329699,0.005703,OWL
0.343182,0.001199,0.673817,0.15,0.292694,0.030646,0.52272,0.012844,OWL
0.511639,0.00018,0.580125,0.1,0.280167,0.03848,0.049672,0.005518,OWL
